timestamp,title,company_name,headquarters,post_date,categories,offer_url
2026-04-18 16:34:36,(Senior) DevOps Engineer / Consultant (m/w/d),"Nscon Network, Security & Consulting Gmbh","Remote,Altenstadt,München,Berlin,Hamburg,Köln",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/nscon-network-security-consulting-gmbh-senior-devops-engineer-consultant-m-w-d
2026-04-18 16:34:36,Senior GCP DevOps Engineer,Spectrum It Recruitment,Kent,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/spectrum-it-recruitment-senior-gcp-devops-engineer
2026-04-18 16:34:36,DevOps Engineer - Decentralized Identity Solutions,Cardano Foundation,"Germany,Ireland",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/cardano-foundation-devops-engineer-decentralized-identity-solutions
2026-04-18 16:34:36,Platform And Product Security Officer H/F,Mirakl,"Boston, MA",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/mirakl-platform-and-product-security-officer-h-f
2026-04-18 16:34:36,Senior Sre - DevOps H/F,Amadeus,"Nice, Provence-Alpes-Côte d'Azur, FR",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/amadeus-senior-sre-devops-h-f
2026-04-18 16:34:36,Ingénieur Zscaler Confirmé - Design & Implémentation H/F,Espritek,"Languedoc-Roussillon, FR",2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/espritek-ingenieur-zscaler-confirme-design-implementation-h-f
2026-04-18 16:34:36,Product Sales Manager -Cybersecurity - Jamaica,Adistec,,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/adistec-product-sales-manager-cybersecurity-jamaica
2026-04-18 16:34:36,Product Sales Manager -Cybersecurity - Dominican Republic,Adistec,,2026-04-06,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/adistec-product-sales-manager-cybersecurity-dominican-republic
2026-04-18 16:34:36,Analista de Sustentação N1 - Dados (Azure & DevOps) - Pleno - 26181,Grupo Taking,BR,2026-04-03,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/grupo-taking-analista-de-sustentacao-n1-dados-azure-devops-pleno-26181
2026-04-18 16:34:36,Profissional SRE/DevOps (AWS/Terraform) Sênior - Remoto,Luby,BR,2026-04-03,"[""Full-Time"", ""Anywhere in the World""]",https://weworkremotely.com/remote-jobs/luby-profissional-sre-devops-aws-terraform-senior-remoto
